year,exact_year,quarter,dept,dept_code,number,code,section,title,type,instructor,A,B,C,D,F,P,NP,W,avg_gpa
2021-22,0,Summer,0,0,0,65040,A,INTRO TO PHONOLOGY,LEC,"BATES, A.",21,2,0,0,0,0,0,0,3.87
2021-22,0,Summer,0,0,0,65050,A,INTRO TO SYNTAX,LEC,"TRAN, T.",1,7,5,0,0,1,0,0,2.62
2021-22,0,Summer,0,0,0,66010,A,CRITICAL REASONING,LEC,"GONZALEZ, J.",8,0,1,0,0,1,0,0,3.74
2021-22,0,Summer,0,0,0,66020,B,CRITICAL REASONING,LEC,"HEIS, J.",9,5,3,1,1,3,0,0,3.08
2021-22,0,Summer,0,0,0,66050,A,MAKING MDRN SCIENCE,LEC,"MESKHIDZE, E.",24,3,2,1,0,1,0,0,3.6
2021-22,0,Summer,0,0,0,38002,A,INTRO BUSINESS MGMT,LEC,"EPPEL, T.",100,21,2,0,1,5,2,0,3.72
2021-22,0,Summer,0,0,0,38016,A,BUSINESS STATISTICS,LEC,"EPPEL, T.",10,13,11,4,4,1,2,0,2.54
2021-22,0,Summer,0,0,0,38031,A,PRNCPLS OF ACCTG I,LEC,"CHAO, M.",36,38,13,9,7,6,8,0,2.84
2021-22,0,Summer,0,0,0,38038,A,PRNCPLS OF ACCTG II,LEC,"HUANG, X.",53,15,4,3,1,1,1,0,3.53
2021-22,0,Summer,0,0,0,38052,A,MANAGEMENT SCIENCE,LEC,"EPPEL, T.",56,16,1,1,1,2,2,0,3.56
2021-22,0,Summer,0,0,0,38055,A,MANAG ORG BEHAVIOR,LEC,"ANDREWS, S.",27,28,4,0,0,1,1,0,3.3
2021-22,0,Summer,0,0,0,38057,B,MANAG ORG BEHAVIOR,LEC,"SOMMER, S.",10,14,7,0,0,0,0,0,3.07
2021-22,0,Summer,0,0,0,38063,B,INTRO TO MARKETING,LEC,"LETOURNEAU, D.",105,24,1,0,1,6,0,0,3.71
2021-22,0,Summer,0,0,0,38069,B,INTRO TO INFO MGMT,LEC,"MOULIK, S.",131,0,0,0,1,2,0,0,3.95
2021-22,0,Summer,0,0,0,38072,A,INTRO MANAGRL FIN,LEC,"RICHEY, T.",55,12,5,0,0,3,0,0,3.66
2021-22,0,Summer,0,0,0,38080,A,ENTREPRENEURSHIP,LEC,"BAILEY, D.",26,17,0,0,1,3,0,0,3.54
2021-22,0,Summer,0,0,0,38099,A,HR MANAGEMENT,LEC,"AGUAS, M.",20,18,6,3,2,6,1,0,2.99
2021-22,0,Summer,0,0,0,38098,A,FOUNDATIONS TEAMS,LEC,"HITE, J.",25,6,1,0,0,1,0,0,3.69
2021-22,0,Summer,0,0,0,38111,A,INTERMED ACCTG I,LEC,"CHATANI, K.",16,11,2,0,1,0,0,0,3.35
2021-22,0,Summer,0,0,0,38119,A,INTERMED ACCTG II,LEC,"CHATANI, K.",6,7,1,0,0,1,0,0,3.31
2021-22,0,Summer,0,0,0,38125,A,INDIVIDUAL TAXATION,LEC,"CHAO, M.",14,7,2,3,1,1,1,0,3.09
2021-22,0,Summer,0,0,0,38171,A,INVESTMENTS,LEC,"YANG, D.",8,6,0,2,0,0,0,0,3.19
2021-22,0,Summer,0,0,0,38496,A,MARKETING ANALYTICS,LEC,"PETTIETTE, M.",12,4,1,0,0,1,1,0,3.63
2021-22,0,Summer,0,0,0,38450,A,FIN STATEMNT ANALYS,LEC,"FLAIZ-WINDHAM, J.",9,3,3,0,0,2,0,0,3.34
2021-22,0,Summer,0,0,0,19550,A,DESGN FAILURE INVST,LEC,"SAEIDI, S.",5,5,1,0,1,1,0,0,3.06
2021-22,0,Summer,0,0,0,44010,A,PRE-CALCULUS,LEC,"LEHMAN, R.",3,6,1,1,4,1,2,0,2.22
2021-22,0,Summer,0,0,0,44020,A,PRE-CALCULUS,LEC,"LEHMAN, R.",43,18,16,9,9,1,1,0,2.8
2021-22,0,Summer,0,0,0,44030,B,PRE-CALCULUS,LEC,"LEHMAN, R.",35,16,9,2,7,1,2,0,3.03
2021-22,0,Summer,0,0,0,44040,A,CALCULUS,LEC,"TREUER, J.",13,7,10,23,7,1,1,0,1.89
2021-22,0,Summer,0,0,0,44050,B,CALCULUS,LEC,"TANG, S.",11,17,13,7,5,0,2,0,2.41
2021-22,0,Summer,0,0,0,44060,A,CALCULUS,LEC,"YOUSSEFPOUR, H.",61,49,37,20,14,1,1,0,2.7
2021-22,0,Summer,0,0,0,44070,B,CALCULUS,LEC,"SIMONSON, D.",17,23,24,23,16,1,4,0,1.99
2021-22,0,Summer,0,0,0,44080,A,MULTIVAR CALCULUS,LEC,"ZHANG, X.",21,22,11,1,8,6,1,0,2.69
2021-22,0,Summer,0,0,0,44090,B,MULTIVAR CALCULUS,LEC,"LU, Z.",19,18,4,7,4,2,1,0,2.77
2021-22,0,Summer,0,0,0,44100,A,MULTIVAR CALCULUS,LEC,"HUBER, K.",14,19,16,14,7,1,2,0,2.26
2021-22,0,Summer,0,0,0,44110,A,INTRO LINEAR ALGBRA,LEC,"GE, L.",63,40,10,1,1,3,1,0,3.38
2021-22,0,Summer,0,0,0,44120,B,INTRO LINEAR ALGBRA,LEC,"LI, S.",35,21,2,2,5,1,0,0,3.22
2021-22,0,Summer,0,0,0,44130,A,ELEM DIFF EQUATIONS,LEC,"HEZARI, H.",16,16,10,1,8,1,1,0,2.57
2021-22,0,Summer,0,0,0,44140,C,ELEM DIFF EQUATIONS,LEC,"HEZARI, H.",6,4,8,0,0,0,0,0,2.96
2021-22,0,Summer,0,0,0,44150,A,CALCULUS LIFE SCIEN,LEC,"RANGAMANI, N.",12,25,21,2,0,0,0,0,2.73
2021-22,0,Summer,0,0,0,44170,A,CALCULUS LIFE SCIEN,LEC,"KNIGHT, H.",29,32,11,6,2,0,0,0,2.97
2021-22,0,Summer,0,0,0,44180,B,CALCULUS LIFE SCIEN,LEC,"POWELL, M.",18,37,22,16,1,0,0,0,2.57
2021-22,0,Summer,0,0,0,44190,A,INTRO PROG NUM ANLY,LEC,"PORTER, M.",12,4,8,1,2,1,1,0,2.86
2021-22,0,Summer,0,0,0,44200,B,INTRO PROG NUM ANLY,LEC,"WANG, D.",24,12,2,1,1,0,0,0,3.42
2021-22,0,Summer,0,0,0,44205,A,INTRO PROG DATA SCI,LEC,"SMITH, L.",30,2,1,0,2,0,0,0,3.66
2021-22,0,Summer,0,0,0,44210,A,INTRO ABSTRACT MATH,LEC,"ROMAN, S.",18,6,8,1,2,1,0,0,3.05
2021-22,0,Summer,0,0,0,44220,B,INTRO ABSTRACT MATH,LEC,"PORTER, M.",10,12,4,1,1,0,1,0,3.0
2021-22,0,Summer,0,0,0,44230,A,NUMERICAL ANLYS I,LEC,"ERJAEE, G.",28,17,10,1,1,1,0,0,3.22
2021-22,0,Summer,0,0,0,44235,B,NUMERICAL ANLYS I,LEC,"ERJAEE, G.",8,9,3,0,1,1,1,0,3.12
2021-22,0,Summer,0,0,0,44240,A,NUMERICAL ANLYS II,LEC,"WANG, D.",13,6,3,3,2,1,1,0,2.96
2021-22,0,Summer,0,0,0,44233,A2,NUMERICAL ANLYS LAB,LAB,"YAN, D.",49,5,0,0,1,1,1,0,3.8
2021-22,0,Summer,0,0,0,44237,B2,NUMERICAL ANLYS LAB,LAB,"ERJAEE, G.",11,4,2,0,3,1,1,0,2.97
2021-22,0,Summer,0,0,0,44245,A2,NUMERICAL ANLYS LAB,LAB,"PORTER, M.",28,2,1,0,1,1,1,0,3.76
2021-22,0,Summer,0,0,0,44246,A,OPTMIZATION I,LEC,"WANG, D.",27,14,2,1,1,0,2,0,3.36
2021-22,0,Summer,0,0,0,44248,A,OPTIMIZATION II,LEC,"SMITH, L.",27,3,1,0,1,0,0,0,3.66
2021-22,0,Summer,0,0,0,44250,A,INTRO GROUP THEORY,LEC,"CRANSTON, M.",4,10,6,0,3,3,1,0,2.52
2021-22,0,Summer,0,0,0,44260,B,INTRO GROUP THEORY,LEC,"SMITH, L.",9,5,1,0,2,2,0,0,3.15
2021-22,0,Summer,0,0,0,44270,A,LINEAR ALGEBRA,LEC,"WALSBERG, E.",14,21,10,1,2,0,0,0,2.95
2021-22,0,Summer,0,0,0,44280,A,PROBABILITY I,LEC,"FERBER, A.",9,9,2,0,5,1,0,0,2.72
2021-22,0,Summer,0,0,0,44290,B,PROBABILITY I,LEC,"GUIDOTTI, P.",2,2,1,1,4,0,0,0,1.73
2021-22,0,Summer,0,0,0,44300,A,PROBABILITY II,LEC,"PELTZER, A.",16,13,2,6,2,1,2,0,2.84
2021-22,0,Summer,0,0,0,44310,A,FIXED INCOME,LEC,"FISCHBACHER, C.",16,12,3,2,1,0,2,0,3.11
2021-22,0,Summer,0,0,0,44320,A,ELEMENTARY ANALYSIS,LEC,"ZHANG, X.",7,5,6,2,1,2,0,0,2.76
2021-22,0,Summer,0,0,0,44330,B,ELEMENTARY ANALYSIS,LEC,"ZHANG, X.",5,6,3,1,2,1,1,0,2.68
2021-22,0,Summer,0,0,0,44340,A,ELEMENTARY ANALYSIS,LEC,"HUBER, K.",14,13,11,9,4,0,3,0,2.45
2021-22,0,Summer,0,0,0,44345,A,COMPLEX ANALYSIS,LEC,"WANG, D.",38,16,3,1,3,0,0,0,3.32
2021-22,0,Summer,0,0,0,44350,A,INTRO CRYPTOLOGY,LEC,"GAO, H.",16,8,4,0,0,0,0,0,3.45
2021-22,0,Summer,0,0,0,44380,A,MATH OF FINANCE,LEC,"NORTHRUP, S.",17,15,11,4,4,1,2,0,2.67
2021-22,0,Summer,0,0,0,44390,A,NUMBER THEORY I,LEC,"BARANOVSKY, V.",9,9,12,4,2,0,0,0,2.49
2021-22,0,Summer,0,0,0,44400,A,MATH WRITING,LEC,"PELAYO, R.",5,5,2,0,0,5,0,0,3.35
2021-22,0,Summer,0,0,0,44410,B,MATH WRITING,LEC,"PELAYO, R.",4,3,2,0,1,5,1,0,2.87
2021-22,0,Summer,0,0,0,17920,A,STATICS,LEC,"SUN, L.",22,12,3,0,0,0,0,0,3.51
2021-22,0,Summer,0,0,0,17930,B,STATICS,LEC,"SUN, L.",7,1,1,1,0,0,0,0,3.34
2021-22,0,Summer,0,0,0,17940,A,COMPUTER AIDED DESN,LEC,"NOROOZI, Z.",13,4,0,0,0,1,0,0,3.64
2021-22,0,Summer,0,0,0,17950,A,DYNAMICS,LEC,"FARDADI, M.",2,5,3,1,0,0,0,0,2.73
2021-22,0,Summer,0,0,0,17960,A,INTROTHERMODYNAMICS,LEC,"NOROOZI, Z.",3,9,5,2,1,0,0,0,2.4
2021-22,0,Summer,0,0,0,18000,A,APPL ENGR THERMODYN,LEC,"HEYDARZADEH, SHEYKH.",9,29,13,2,4,0,0,0,2.6
2021-22,0,Summer,0,0,0,18010,A,HEAT & MASS TRANSFR,LEC,"KRISHNA, A.",23,4,0,0,0,0,0,0,3.85
2021-22,0,Summer,0,0,0,18020,A,INTRO FLUID MECHS,LEC,"EISA, S.",53,1,0,0,0,0,0,0,3.96
2021-22,0,Summer,0,0,0,18030,A,VIS/COMPRESS FLOWS,LEC,"NOROOZI, Z.",20,20,10,1,0,0,0,0,3.11
2021-22,0,Summer,0,0,0,18040,A,MECHANICS OF STRCTR,LEC,"HSIEH, M.",31,2,0,0,1,0,0,0,3.81
2021-22,0,Summer,0,0,0,18050,A,MECH OF STRUCT LAB,LAB,"HSIEH, M.",32,1,0,0,0,0,0,0,3.93
2021-22,0,Summer,0,0,0,18060,A,MECH BEH/DES PRIN,LEC,"SAEIDI, S.",5,7,1,2,1,0,0,0,2.81
2021-22,0,Summer,0,0,0,18070,A,INTRO CNTRL SYSTEMS,LEC,"MAGGIA, M.",14,26,26,4,5,0,0,0,2.52
2021-22,0,Summer,0,0,0,4010,A,INTRO TO MUSIC,LEC,"TERRICCIANO, A.",222,6,4,0,2,8,0,0,3.89
2021-22,0,Summer,0,0,0,4020,B,INTRO TO MUSIC,LEC,"TERRICCIANO, A.",169,12,4,0,1,6,1,0,3.87
2021-22,0,Summer,0,0,0,4030,C,INTRO TO MUSIC,LEC,"DESSEN, M.",73,4,4,1,0,2,3,0,3.82
2021-22,0,Summer,0,0,0,4040,D,INTRO TO MUSIC,LEC,"DESSEN, M.",168,12,2,3,9,13,5,0,3.67
2021-22,0,Summer,0,0,0,4050,E,INTRO TO MUSIC,LEC,"TERRICCIANO, A.",68,1,1,0,0,2,0,0,3.94
2021-22,0,Summer,0,0,0,4060,A,ROCK:EARLY YEARS,LEC,"BAUER, A.",10,2,0,0,1,1,0,0,3.4
2021-22,0,Summer,0,0,0,4070,A,FUND OF MUSIC,LEC,"LINDSAY, E.",25,4,2,0,1,9,0,0,3.62
2021-22,0,Summer,0,0,0,4090,A,HISTORY OF JAZZ,LEC,"TORRES, M.",37,0,0,0,0,1,0,0,3.98
2021-22,0,Summer,0,0,0,88510,A,LIFE 101,LEC,"JAFARI, M.",155,0,0,1,3,6,1,0,3.91
2021-22,0,Summer,0,0,0,88520,A,SPEAKING SCIENCE,LEC,"SCHRINER, S.",26,1,0,0,0,0,0,0,3.92
2021-22,0,Summer,0,0,0,88530,A,HUMAN PHYSIOLOGY,LEC,"SCHRINER, S.",14,7,4,1,1,0,0,0,3.21
2021-22,0,Summer,0,0,0,88540,A,PHYSIOLOGY LAB,LAB,"SCHRINER, S.",20,4,0,0,0,0,0,0,3.8
2021-22,0,Summer,0,0,0,30310,A,INTRO TO PHILOSOPHY,LEC,"PRITCHARD, D.",145,22,6,2,3,9,3,0,3.63
2021-22,0,Summer,0,0,0,30320,B,INTRO TO PHILOSOPHY,LEC,"GOSS, B.",53,21,0,0,2,9,2,0,3.56
2021-22,0,Summer,0,0,0,30330,A,PUZZLES & PARADOXES,LEC,"DOULAS, L.",9,22,7,1,1,3,0,0,2.95
2021-22,0,Summer,0,0,0,30340,B,PUZZLES & PARADOXES,LEC,"BERNECKER, S.",23,13,6,3,2,7,2,0,3.08
2021-22,0,Summer,0,0,0,30350,A,TECH & SOCIETY,LEC,"BERNECKER, S.",22,10,0,1,3,0,1,0,3.27
2021-22,0,Summer,0,0,0,30360,A,INTRO TO ETHICS,LEC,"PRITCHARD, D.",117,26,6,1,4,10,3,0,3.55
2021-22,0,Summer,0,0,0,30370,B,INTRO TO ETHICS,LEC,"DOLIN, A.",11,3,0,0,2,2,1,0,3.28
2021-22,0,Summer,0,0,0,30380,A,CONTEMP MORAL PRBLM,LEC,"PIEDRAHITA, RIVERA.",5,8,3,0,0,0,0,0,3.22
2021-22,0,Summer,0,0,0,30390,A,INTRO LAW & SOCIETY,LEC,"HELMREICH, J.",8,0,0,0,0,2,0,0,3.93
2021-22,0,Summer,0,0,0,30410,B,CRITICAL REASONING,LEC,"HEIS, J.",5,5,1,1,2,0,0,0,2.71
2021-22,0,Summer,0,0,0,30440,A,INTRO TO KNOWLEDGE,LEC,"COLIVA, A.",15,2,0,0,1,1,2,0,3.65
2021-22,0,Summer,0,0,0,30450,A,MEDICAL ETHICS,SEM,"DEAN, M.",11,7,2,0,0,0,0,0,3.38
2021-22,0,Summer,0,0,0,30460,A,LAWYERS AND LIARS,LEC,"HELMREICH, J.",16,6,0,0,1,1,0,0,3.45
2021-22,0,Summer,0,0,0,47010,A,INTRO MATH METHODS,LEC,"MERCADO, F.",17,0,1,0,0,1,0,0,3.89
2021-22,0,Summer,0,0,0,47020,A,BASIC PHYSICS I,LEC,"YU, L.",142,44,11,3,1,1,2,0,3.6
2021-22,0,Summer,0,0,0,47030,A,BASIC PHYSICS II,LEC,"GUERRA, A.",46,73,56,4,0,0,0,0,2.89
2021-22,0,Summer,0,0,0,47040,B,BASIC PHYSICS II,LEC,"MERCADO, F.",175,7,1,1,0,0,0,0,3.93
2021-22,0,Summer,0,0,0,47060,A,BASIC PHYSICS III,LEC,"GUERRA, A.",61,62,43,7,0,0,1,0,3.01
2021-22,0,Summer,0,0,0,47050,A1,BASIC PHYSIC LAB II,LAB,"PITUWALA, KANKANAMG.",5,6,5,1,0,0,0,0,2.9
2021-22,0,Summer,0,0,0,47051,A2,BASIC PHYSIC LAB II,LAB,"PITUWALA, KANKANAMG.",0,9,3,3,0,0,0,0,2.44
2021-22,0,Summer,0,0,0,47052,A3,BASIC PHYSIC LAB II,LAB,"PITUWALA, KANKANAMG.",13,3,3,0,0,0,0,0,3.48
2021-22,0,Summer,0,0,0,47053,A4,BASIC PHYSIC LAB II,LAB,"PITUWALA, KANKANAMG.",9,7,3,0,0,0,0,0,3.32
2021-22,0,Summer,0,0,0,47054,A5,BASIC PHYSIC LAB II,LAB,"PITUWALA, KANKANAMG.",8,5,2,0,0,0,0,0,3.3
2021-22,0,Summer,0,0,0,47055,A6,BASIC PHYSIC LAB II,LAB,"PITUWALA, KANKANAMG.",11,5,0,0,0,0,0,0,3.61
2021-22,0,Summer,0,0,0,47056,A7,BASIC PHYSIC LAB II,LAB,"PITUWALA, KANKANAMG.",7,5,3,1,1,0,1,0,2.92
2021-22,0,Summer,0,0,0,47070,A1,BAS PHYSICS LAB III,LAB,"PITUWALA, KANKANAMG.",5,11,4,1,0,0,0,0,2.82
2021-22,0,Summer,0,0,0,47071,A2,BAS PHYSICS LAB III,LAB,"PITUWALA, KANKANAMG.",8,4,5,2,0,0,0,0,2.95
2021-22,0,Summer,0,0,0,47072,A3,BAS PHYSICS LAB III,LAB,"PITUWALA, KANKANAMG.",9,7,4,0,0,0,0,0,3.27
2021-22,0,Summer,0,0,0,47073,A4,BAS PHYSICS LAB III,LAB,"PITUWALA, KANKANAMG.",6,3,10,1,1,0,0,0,2.6
2021-22,0,Summer,0,0,0,47074,A5,BAS PHYSICS LAB III,LAB,"PITUWALA, KANKANAMG.",7,11,3,0,0,0,0,0,3.11
2021-22,0,Summer,0,0,0,47075,A6,BAS PHYSICS LAB III,LAB,"PITUWALA, KANKANAMG.",6,4,8,2,0,0,0,0,2.69
2021-22,0,Summer,0,0,0,47076,A7,BAS PHYSICS LAB III,LAB,"PITUWALA, KANKANAMG.",10,5,5,1,0,0,0,0,3.06
2021-22,0,Summer,0,0,0,47080,A,CLASSICAL PHYSICS,LEC,"LANKFORD, A.",17,8,4,0,0,0,0,0,3.44
2021-22,0,Summer,0,0,0,47100,A,CLASSICAL PHYSICS,LEC,"BRACONI, A.",15,28,11,0,1,0,0,0,3.05
2021-22,0,Summer,0,0,0,47120,B,CLASSICAL PHYSICS,LEC,"BRACONI, A.",12,20,7,0,1,1,0,0,3.01
2021-22,0,Summer,0,0,0,47140,A,CLASSICAL PHYSICS,LEC,"COLLINS, P.",46,23,3,0,2,1,0,0,3.51
2021-22,0,Summer,0,0,0,47090,A1,CLASS PHYSICS LAB,LAB,"ARAKAWA, J.",20,3,0,0,0,1,0,0,3.86
2021-22,0,Summer,0,0,0,47110,A1,CLASS PHYSICS LAB,LAB,"BRACONI, A.",31,0,0,0,0,0,0,0,3.99
2021-22,0,Summer,0,0,0,47111,A2,CLASS PHYSICS LAB,LAB,"BRACONI, A.",19,0,0,0,0,0,0,0,4.0
2021-22,0,Summer,0,0,0,47130,B1,CLASS PHYSICS LAB,LAB,"BRACONI, A.",32,1,1,0,0,1,0,0,3.91
2021-22,0,Summer,0,0,0,47150,A,INTRO TO ASTRONOMY,LEC,"HOLCOMB, R.",16,4,1,0,2,1,0,0,3.3
2021-22,0,Summer,0,0,0,67010,A,INTRO POL SCI:ANLYS,LEC,"FITZGERALD, B.",14,6,0,0,0,1,0,0,3.69
2021-22,0,Summer,0,0,0,67020,A,INTRO AMERICAN GOVT,LEC,"DESIPIO, L.",25,18,10,0,4,30,9,0,3.03
2021-22,0,Summer,0,0,0,67030,B,INTRO AMERICAN GOVT,LEC,"BOUSHEY, G.",48,9,3,0,3,24,1,0,3.51
2021-22,0,Summer,0,0,0,67040,A,INTRO INTL RELATNS,LEC,"PETROVIC, B.",8,3,0,0,0,0,0,0,3.65
2021-22,0,Summer,0,0,0,67050,A,POLITCS AROUND WRLD,LEC,"TARANGO, S.",9,4,0,1,0,0,0,0,3.37
2021-22,0,Summer,0,0,0,67060,A,INTRO RACE&ETHNICTY,LEC,"DESIPIO, L.",5,2,1,0,1,1,0,0,3.08
2021-22,0,Summer,0,0,0,67070,B,INTRO RACE&ETHNICTY,LEC,"RUBALCAVA, B.",17,2,1,0,1,0,0,0,3.65
2021-22,0,Summer,0,0,0,67080,A,INTRODUCTION TO LAW,LEC,"SMITH, C.",35,1,0,0,0,1,0,0,3.9
2021-22,0,Summer,0,0,0,67090,B,INTRODUCTION TO LAW,LEC,"SAFARZADEH, P.",10,1,1,0,0,0,0,0,3.7
2021-22,0,Summer,0,0,0,67100,A,LATINOS IN US POLIT,LEC,"TORRES, R.",27,0,0,0,0,0,0,0,4.0
2021-22,0,Summer,0,0,0,67110,A,COMP MINORITY POLIT,LEC,"CHAN, N.",13,3,2,0,0,0,0,0,3.54
2021-22,0,Summer,0,0,0,67120,A,GAME THRY&POLTCS I,LEC,"KAMINSKI, M.",13,2,1,0,0,2,0,0,3.71
2021-22,0,Summer,0,0,0,67130,A,APPRCHS TO INTL REL,LEC,"GILLOOLY, S.",8,0,1,0,1,1,0,0,3.31
2021-22,0,Summer,0,0,0,67140,A,RELIGION & POLITICS,LEC,"HYDER, M.",11,2,1,1,0,0,0,0,3.57
2021-22,0,Summer,0,0,0,67150,A,VOTING & MANIPULATN,LEC,"EVCI, U.",4,4,6,0,0,0,0,0,2.92
2021-22,0,Summer,0,0,0,67160,A,HUMAN RIGHTS,LEC,"SMITH, C.",21,5,0,0,1,0,1,0,3.62
2021-22,0,Summer,0,0,0,54030,A,PSYCH FUNDAMENTALS,LEC,"BERG, B.",5,3,2,1,0,2,0,0,3.12
2021-22,0,Summer,0,0,0,54040,B,PSYCH FUNDAMENTALS,LEC,"D'ZMURA, T.",7,2,0,0,0,1,0,0,3.64
2021-22,0,Summer,0,0,0,54050,B,PSYCH FUNDAMENTALS,LEC,"CHENG, Y.",14,4,0,0,0,2,0,0,3.74
2021-22,0,Summer,0,0,0,54060,C,PSYCH FUNDAMENTALS,LEC,"COON, J.",8,3,1,1,0,0,0,0,3.36
2021-22,0,Summer,0,0,0,54070,A,PSYCH FUNDAMENTALS,LEC,"KIRCHER, J.",7,6,1,0,0,0,0,0,3.36
2021-22,0,Summer,0,0,0,54100,A,LIFE SPAN DEV PSYCH,LEC,"HECKHAUSEN, J.",16,14,6,0,6,1,0,0,2.77
2021-22,0,Summer,0,0,0,54110,A,ABNORMAL PSYCHOLOGY,LEC,"RINEHART, J.",68,21,2,0,1,0,0,0,3.66
2021-22,0,Summer,0,0,0,54120,A,HEALTH PSYCHOLOGY,LEC,"RINEHART, J.",35,12,3,0,1,0,0,0,3.58
2021-22,0,Summer,0,0,0,54125,A,THE SOCIAL ANIMAL,LEC,"KELLY, J.",17,8,0,0,1,1,1,0,3.56
2021-22,0,Summer,0,0,0,54140,A,CHILD DEVELOPMENT,LEC,"LUKOWSKI, A.",13,12,7,0,1,1,0,0,3.12
2021-22,0,Summer,0,0,0,54145,A,COGNITIVE DEVELOPMT,LEC,"HURLEY, K.",16,1,6,1,2,0,1,0,3.04
2021-22,0,Summer,0,0,0,54150,A,DEV PSYCHOPATHOLOGY,LEC,"KAN, E.",16,10,3,0,2,3,0,0,3.26
2021-22,0,Summer,0,0,0,54160,A,SOCIAL EPIDEMIOLOGY,LEC,"TORRES, I.",9,3,0,1,0,1,0,0,3.52
2021-22,0,Summer,0,0,0,54170,A,SOC CONTR OF DELINQ,LEC,"MAGIDSON, M.",22,5,0,1,1,1,0,0,3.51
2021-22,0,Summer,0,0,0,89010,A,PRINCIPLES PUB HLTH,LEC,"OSBORN, B.",63,14,2,1,3,3,0,0,3.59
2021-22,0,Summer,0,0,0,89020,A,CASE STDS PUB HLTH,LEC,"MOORE, D.",63,8,0,0,1,0,1,0,3.78
2021-22,0,Summer,0,0,0,89025,A,PUBHLTH STATS II,LEC,"GOODMAN, S.",21,2,0,0,0,0,0,0,3.86
2021-22,0,Summer,0,0,0,89030,A,STRESS MANAGEMENT,LEC,"BIC, Z.",86,12,1,3,2,11,1,0,3.69
2021-22,0,Summer,0,0,0,89040,A,ENV QUALITY&HEALTH,LEC,"TANG, I.",66,2,0,1,1,0,0,0,3.87
2021-22,0,Summer,0,0,0,89050,A,NATURAL DISASTERS,LEC,"HALKIA, G.",13,20,5,0,0,0,0,0,3.21
2021-22,0,Summer,0,0,0,89080,A,INTRO TO EPIDMLGY,LEC,"TAYLOR, T.",58,33,14,1,1,1,1,0,3.32
2021-22,0,Summer,0,0,0,89090,A,SOCIAL EPIDEMIOLOGY,LEC,"TORRES, I.",21,5,1,0,1,0,0,0,3.59
2021-22,0,Summer,0,0,0,89100,A,HEALTH POLICY,LEC,"KEY, M.",35,14,1,0,0,1,0,0,3.63
2021-22,0,Summer,0,0,0,89110,A,PUBLIC HEALTH LAW,LEC,"DUONG, H.",19,2,0,0,0,0,0,0,3.89
2021-22,0,Summer,0,0,0,89120,A,PUBHLTH CORP WORLD,LEC,"BIC, Z.",25,5,4,1,1,0,0,0,3.38
2021-22,0,Summer,0,0,0,89140,A,MEDICAL SOCIOLOGY,LEC,"TURNEY, K.",10,3,3,1,0,0,1,0,3.33
2021-22,0,Summer,0,0,0,89160,A,HLTH BEHAVIOR THRY,LEC,"SCHUSTER, T.",9,3,2,0,0,0,0,0,3.46
2021-22,0,Summer,0,0,0,89170,A,HEALTH PROMOTION,LEC,"GARCIA, S.",8,1,0,0,0,1,0,0,3.86
2021-22,0,Summer,0,0,0,89180,A,SOC MENTAL HEALTH,LEC,"SCHUSTER, T.",14,12,2,0,0,0,0,0,3.35
2021-22,0,Summer,0,0,0,89190,B,WELLNESS & ALT MED,LEC,"SCHUSTER, T.",7,8,3,0,0,1,0,0,3.21
2021-22,0,Summer,0,0,0,89200,A,NUCLEAR ENVIRONMENT,LEC,"WHITELEY, J.",10,2,0,0,0,0,0,0,3.86
2021-22,0,Summer,0,0,0,89210,A,INTRO GLOBAL HEALTH,LEC,"CHA, B.",17,7,3,0,1,0,1,0,3.35
2021-22,0,Summer,0,0,0,89220,A,PUB HLTH PRACTICUM,LEC,"GIDEONSE, T.",45,13,3,1,6,0,0,0,3.29
2021-22,0,Summer,0,0,0,50010,A,RESEARCH DESIGN,LEC,"BASOLO, M.",79,42,9,0,0,1,0,0,3.53
2021-22,0,Summer,0,0,0,50020,B,RESEARCH DESIGN,LEC,"ZAVITA, K.",76,8,0,0,4,0,3,0,3.65
2021-22,0,Summer,0,0,0,50030,A,STAT ANALYSIS IN SE,LEC,"OSUTEI, N.",19,4,0,0,0,0,0,0,3.83
2021-22,0,Summer,0,0,0,50040,B,STAT ANALYSIS IN SE,LEC,"FORTHUN, B.",21,2,2,0,1,0,1,0,3.62
2021-22,0,Summer,0,0,0,50080,A,NAT FIELD RESEARCH,LEC,"YIM, I.",4,2,3,1,1,0,0,0,2.61
2021-22,0,Summer,0,0,0,50100,A,FIELD STUDY,FLD,"PARKS, V.",0,0,0,0,0,58,0,0,
2021-22,0,Summer,0,0,0,50120,C,FIELD STUDY,FLD,"YIM, I.",0,0,0,0,0,56,1,0,
2021-22,0,Summer,0,0,0,50140,A,FS WRITING SEMINAR,SEM,"GOLOB, B.",28,4,2,0,2,0,0,0,3.47
2021-22,0,Summer,0,0,0,70010,A,PRINCIPLES SOC SCI,LEC,"MORGAN, P.",31,8,2,1,0,0,1,0,3.57
2021-22,0,Summer,0,0,0,70020,A,COMP RES IN SOC SCI,LEC,"TOMLINSON, C.",58,16,6,4,5,3,3,0,3.29
2021-22,0,Summer,0,0,0,70030,B,COMP RES IN SOC SCI,LEC,"MORGAN, P.",150,20,0,1,6,9,1,0,3.72
