year,exact_year,quarter,dept,dept_code,number,code,section,title,type,instructor,A,B,C,D,F,P,NP,W,avg_gpa
2021-22,0,Summer,0,0,0,3035,A,CULTURE IN PERF,LEC,"WOOD, S.",31,1,1,0,0,2,0,0,3.89
2021-22,0,Summer,0,0,0,3040,A,INTRO TO STAGE MGMT,STU,"HILL, D.",21,0,0,0,0,0,0,0,3.97
2021-22,0,Summer,0,0,0,3050,A,EAT DRINK PERFORM,LEC,"LEI, D.",10,2,1,0,1,1,0,0,3.39
2021-22,0,Summer,0,0,0,3060,A,INTERMEDIATE ACTING,STU,"BRESTOFF, R.",12,0,0,0,0,1,0,0,3.98
2021-22,0,Summer,0,0,0,3070,A,SHOW BIZ BUSINESS,STU,"HILL, D.",14,0,0,0,0,0,0,0,4.0
2021-22,0,Summer,0,0,0,42010,A,INTRO TO ESS,LEC,"LI, Y.",24,23,10,1,0,9,0,0,3.15
2021-22,0,Summer,0,0,0,42020,A,OCEANOGRAPHY,LEC,"HE, Z.",15,10,3,0,1,3,1,0,3.25
2021-22,0,Summer,0,0,0,42040,A,CLIMATE CHANGE,LEC,"RAFTER, P.",21,7,0,0,1,3,0,0,3.62
2021-22,0,Summer,0,0,0,42050,A,CATASTROPHES,LEC,"CHENG, G.",4,8,4,2,0,2,0,0,2.88
2021-22,0,Summer,0,0,0,23010,A,KOREAN ANIMATION,LEC,"GOTTESMAN, Z.",14,1,0,0,1,1,1,0,3.67
2021-22,0,Summer,0,0,0,23020,A,READ MADNSS KOREAN,LEC,"CHO, M.",15,0,0,0,0,0,0,0,3.98
2021-22,0,Summer,0,0,0,62010,A,FEDERAL RESERVE,LEC,"RICHARDSON, G.",11,22,6,0,0,3,0,0,3.04
2021-22,0,Summer,0,0,0,62020,A,GLOBAL ECONOMY,LEC,"SARRAF, G.",34,15,0,0,0,5,0,0,3.62
2021-22,0,Summer,0,0,0,62030,B,GLOBAL ECONOMY,LEC,"MILANI, F.",6,15,3,0,3,1,0,0,2.77
2021-22,0,Summer,0,0,0,62040,A,PROB & STATS ECON I,LEC,"ROBBINS, T.",30,27,5,2,10,1,1,0,2.83
2021-22,0,Summer,0,0,0,62050,B,PROB & STATS ECON I,LEC,"LUK, H.",18,17,10,2,2,0,0,0,2.92
2021-22,0,Summer,0,0,0,62060,A,PROB &STATS ECON II,LEC,"SHIREY, P.",14,13,13,5,5,2,1,0,2.51
2021-22,0,Summer,0,0,0,62070,B,PROB &STATS ECON II,LEC,"LADD, D.",16,20,4,2,2,2,1,0,3.04
2021-22,0,Summer,0,0,0,62080,A,BASIC ECONOMICS I,LEC,"BRANCH, W.",97,17,5,2,3,1,0,0,3.63
2021-22,0,Summer,0,0,0,62090,B,BASIC ECONOMICS I,LEC,"VO, P.",16,1,0,0,0,0,0,0,3.84
2021-22,0,Summer,0,0,0,62100,C,BASIC ECONOMICS I,LEC,"BRANCH, W.",42,5,2,2,2,2,1,0,3.52
2021-22,0,Summer,0,0,0,62110,A,BASIC ECONOMICS II,LEC,"BRANCH, W.",57,3,3,0,1,1,0,0,3.78
2021-22,0,Summer,0,0,0,62120,B,BASIC ECONOMICS II,LEC,"BRANCH, W.",32,3,0,2,1,1,1,0,3.67
2021-22,0,Summer,0,0,0,62140,B,ECON ACCTG DECS,LEC,"MARI, R.",17,1,0,0,1,0,0,0,3.61
2021-22,0,Summer,0,0,0,62150,A,INTER ECONOMICS I,LEC,"TOUKAN, A.",22,23,20,15,2,0,0,0,2.56
2021-22,0,Summer,0,0,0,62160,B,INTER ECONOMICS I,LEC,"AGGARWAL, N.",35,5,2,0,2,0,0,0,3.57
2021-22,0,Summer,0,0,0,62170,A,INTER ECONOMICS II,LEC,"TOUKAN, A.",17,48,17,6,3,1,1,0,2.73
2021-22,0,Summer,0,0,0,62180,A,INTER ECONOMICS III,LEC,"ROCHETEAU, G.",24,16,6,2,2,1,0,0,3.12
2021-22,0,Summer,0,0,0,62190,B,INTER ECONOMICS III,LEC,"JENKINS, B.",33,16,7,1,2,0,0,0,3.28
2021-22,0,Summer,0,0,0,62200,A,INTER QUANT ECON I,LEC,"MILANI, F.",21,5,1,0,1,0,0,0,3.51
2021-22,0,Summer,0,0,0,62210,A,INTER QUANT ECON II,LEC,"MILANI, F.",8,8,1,2,0,0,0,0,3.14
2021-22,0,Summer,0,0,0,62220,A,APPLD ECONMETRIC I,LEC,"RODRIGUEZ LOPEZ, J.",72,20,4,0,0,1,0,0,3.72
2021-22,0,Summer,0,0,0,62230,B,APPLD ECONMETRIC I,LEC,"RODRIGUEZ LOPEZ, J.",55,19,7,0,2,0,0,0,3.45
2021-22,0,Summer,0,0,0,62240,A,APPLD ECONMETRIC II,LEC,"FERNANDES, FRANCO.",36,13,6,4,2,0,0,0,3.26
2021-22,0,Summer,0,0,0,62250,B,APPLD ECONMETRIC II,LEC,"RODRIGUEZ LOPEZ, J.",68,20,4,0,0,0,0,0,3.64
2021-22,0,Summer,0,0,0,62260,A,INTRO FINANCL INVST,LEC,"SOHRABIAN, A.",49,16,0,0,0,0,1,0,3.64
2021-22,0,Summer,0,0,0,62270,A,CORPORATE FINANCE,LEC,"SOHRABIAN, A.",44,18,0,0,0,3,0,0,3.63
2021-22,0,Summer,0,0,0,62280,A,MATH OF FINANCE,LEC,"NORTHRUP, S.",2,5,9,2,1,0,2,0,2.28
2021-22,0,Summer,0,0,0,62290,A,FIN MRKT & MACECON,LEC,"MILANI, F.",24,8,3,3,7,2,0,0,2.81
2021-22,0,Summer,0,0,0,62300,A,MANAGERIAL ECON,LEC,"AGGARWAL, N.",89,12,4,1,0,1,1,0,3.78
2021-22,0,Summer,0,0,0,62310,A,ECONOMIC ANTHRO,LEC,"YOLMO, N.",51,4,2,0,0,3,0,0,3.85
2021-22,0,Summer,0,0,0,62320,A,VOTING & MANIPULATN,LEC,"EVCI, U.",95,14,12,2,1,1,0,0,3.61
2021-22,0,Summer,0,0,0,62340,A,INTL TRADE&COM POL,LEC,"SARRAF, G.",106,11,3,1,1,1,0,0,3.76
2021-22,0,Summer,0,0,0,12010,A,21ST CEN LITERACIES,LEC,"VU, V.",23,19,0,0,3,1,1,0,3.26
2021-22,0,Summer,0,0,0,12020,A,DEV LEARN IN EDUC,LEC,"CHEN, E.",38,5,2,1,1,0,0,0,3.58
